ACA,actGlobeWarm,angryObama,approveObama,apprPresident,birthrightb,birthrightStr,climateDeny,climDeny,collegeaa,compromise,DeathPenalty,eduLevel,englishImp,famLeave,favorWall,feminist,fightISIS,gayAdopt,gayDiscrim,gayServices,Gender,govtPlutocrats,health,numKids,proudObama,religImport,rightTrack,roughUpProtest,RUantifeminist,RUfeminist,sensitiveOffense,spchild,spcrime,spEnvironment,spPoor,spSchool,spScience,spSocSec,spWelfare,SUMappBirthright,SUMdeportKids,trustGovt,trustPeople,violenceOK,YOB
2,2,4,1,2,1,1,2,1,2,2,1,11,1,3,1,3,3,1,1,2,2,3,3,0,1,1,2,3,3,4,2,3,3,2,3,3,2,2,2,1,6,3,4,1,1962
1,2,4,1,2,3,3,2,1,1,1,1,13,1,1,5,2,1,2,1,1,2,1,2,0,1,1,2,5,5,4,3,1,3,2,2,1,3,2,1,6,5,4,2,1,1926
3,3,2,1,1,3,1,2,1,2,1,2,10,1,3,6,2,1,2,1,1,2,1,3,1,4,1,2,1,5,3,4,3,3,3,3,3,3,3,1,7,6,5,4,1,1949
2,3,2,2,2,3,3,1,1,1,2,1,9,4,3,7,3,1,1,2,2,2,3,3,3,3,1,2,3,4,3,3,3,3,3,1,3,3,2,1,6,6,5,4,1,1978
1,1,2,2,1,3,3,3,2,3,1,2,12,3,2,7,3,1,1,1,1,2,1,4,0,4,1,2,1,4,4,3,3,2,2,3,2,1,3,3,6,6,3,3,1,1969
1,2,3,1,2,3,1,2,2,1,1,2,10,1,3,7,3,3,2,1,1,1,1,4,0,2,1,2,5,2,5,2,1,2,1,1,3,3,3,1,7,6,5,3,1,1950
2,1,4,1,2,1,1,3,2,1,1,1,9,1,3,1,2,3,1,1,1,2,1,2,0,1,1,2,1,4,4,4,3,3,1,1,3,1,3,1,1,4,5,4,1,1960
1,2,3,1,2,3,1,2,2,1,1,1,9,1,3,1,3,3,1,1,2,1,1,3,0,1,2,2,1,5,5,4,2,3,1,2,3,3,3,2,7,2,3,2,1,1971
3,3,1,1,1,1,2,1,1,3,2,1,9,2,3,6,3,1,1,1,2,1,1,1,1,4,1,1,1,5,5,1,3,3,3,3,3,3,3,1,3,6,4,4,1,1976
3,3,1,1,1,3,1,2,1,1,1,1,10,1,3,7,2,1,2,1,1,2,3,4,0,3,1,2,3,5,2,3,3,3,3,3,3,3,3,3,7,6,2,3,1,1930
1,2,2,2,1,3,1,1,2,2,1,2,13,1,3,7,3,1,1,1,2,1,1,2,0,2,1,1,2,5,5,2,3,3,1,2,3,3,2,2,7,5,4,4,2,1986
1,2,2,1,2,1,1,2,1,1,1,1,12,1,3,1,3,3,1,1,1,1,1,4,0,1,1,2,5,5,5,4,2,3,1,3,3,3,3,1,1,4,5,4,1,1949
3,3,2,1,1,3,1,1,1,3,1,2,14,2,3,7,2,3,1,1,2,2,3,2,0,4,1,1,1,5,3,2,3,3,3,3,3,3,2,2,7,6,4,4,1,1954
3,3,2,1,1,3,3,1,1,3,1,2,14,2,3,7,2,3,1,1,2,1,1,3,2,4,2,1,1,5,3,2,3,2,3,3,3,3,2,3,6,6,2,2,1,1970
1,1,2,1,2,1,1,2,1,1,1,1,13,1,1,1,3,1,1,1,2,1,1,1,0,3,2,2,4,3,4,3,1,3,3,1,1,3,1,1,1,1,3,3,1,1946
3,3,2,1,1,3,3,1,1,2,1,2,14,3,3,7,2,3,1,1,1,2,1,1,2,4,2,1,1,5,2,2,3,3,3,3,3,3,1,3,6,5,4,2,1,1986
